משנת דיגום 2012 קבוצת פרמטרים: מתכות;אורגנים תעשייה;חומרי הדברה;דלקים;כלוריד ניטרט,,,,,,,,,
זיהוי,שם,תא דיווח,שימוש,פרמטר,סוג תקן מי שתייה,ערך תקן,תאריך דיגום אחרון,ריכוז אחרון,אחוז מתקן מי השתיה
617101,מק מרזבה 4,752,חברת מקורות,AS,תקן ישראלי מותר,10,25/07/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,CCL4,תקן ישראלי מותר,4,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,CD,תקן ישראלי מותר,5,25/07/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,CDCE,תקן ישראלי מותר,50,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,CHLF,תקן ישראלי מותר,80,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,Cl,תקן ישראלי מותר,400,25/12/2017,1075.39,268.8
617101,מק מרזבה 4,752,חברת מקורות,CR,תקן ישראלי מותר,50,25/07/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,DCET,תקן ישראלי מותר,4,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,DCEY,תקן ישראלי מותר,10,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,ETBN,תקן ישראלי מותר,300,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,ETDB,תקן ישראלי מותר,0.05,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,LIND,תקן ישראלי מותר,1,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,MTBE,תקן ישראלי מותר,40,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,NI,תקן ישראלי מותר,20,25/07/2017,4,20
617101,מק מרזבה 4,752,חברת מקורות,NO3,תקן ישראלי מותר,70,25/12/2017,176.6,252.3
617101,מק מרזבה 4,752,חברת מקורות,PB,תקן ישראלי מותר,10,25/07/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,SIMZ,תקן ישראלי מותר,2,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,TCEY,תקן ישראלי מותר,20,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,TDCE,תקן ישראלי מותר,50,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,TECE,תקן ישראלי מותר,10,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,TOLU,תקן ישראלי מותר,700,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,VYCL,תקן ישראלי מותר,0.5,23/10/2017,0,0
617101,מק מרזבה 4,752,חברת מקורות,XYLE,תקן ישראלי מותר,500,23/10/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,AS,תקן ישראלי מותר,10,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,CCL4,תקן ישראלי מותר,4,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,CD,תקן ישראלי מותר,5,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,CDCE,תקן ישראלי מותר,50,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,CHLF,תקן ישראלי מותר,80,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,Cl,תקן ישראלי מותר,400,19/06/2017,605.8,151.5
617102,מק מרזבה 4 א,752,חברת מקורות,CR,תקן ישראלי מותר,50,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,DCET,תקן ישראלי מותר,4,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,DCEY,תקן ישראלי מותר,10,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,ETBN,תקן ישראלי מותר,300,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,ETDB,תקן ישראלי מותר,0.05,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,LIND,תקן ישראלי מותר,1,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,MTBE,תקן ישראלי מותר,40,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,NI,תקן ישראלי מותר,20,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,NO3,תקן ישראלי מותר,70,13/08/2017,65,92.9
617102,מק מרזבה 4 א,752,חברת מקורות,PB,תקן ישראלי מותר,10,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,SIMZ,תקן ישראלי מותר,2,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,TCEY,תקן ישראלי מותר,20,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,TDCE,תקן ישראלי מותר,50,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,TECE,תקן ישראלי מותר,10,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,TOLU,תקן ישראלי מותר,700,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,VYCL,תקן ישראלי מותר,0.5,25/07/2017,0,0
617102,מק מרזבה 4 א,752,חברת מקורות,XYLE,תקן ישראלי מותר,500,25/07/2017,0,0
617202,מק מרזבה 10,752,חברת מקורות,AS,תקן ישראלי מותר,10,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,ATRA,תקן ישראלי מותר,2,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,BENZ,תקן ישראלי מותר,5,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,CCL4,תקן ישראלי מותר,4,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,CD,תקן ישראלי מותר,5,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,CDCE,תקן ישראלי מותר,50,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,CHLF,תקן ישראלי מותר,80,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,Cl,תקן ישראלי מותר,400,25/12/2017,860.98,215.2
617202,מק מרזבה 10,752,חברת מקורות,CR,תקן ישראלי מותר,50,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,DCET,תקן ישראלי מותר,4,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,DCEY,תקן ישראלי מותר,10,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,ETBN,תקן ישראלי מותר,300,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,ETDB,תקן ישראלי מותר,0.05,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,LIND,תקן ישראלי מותר,1,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,MTBE,תקן ישראלי מותר,40,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,NI,תקן ישראלי מותר,20,20/08/2012,3,15
617202,מק מרזבה 10,752,חברת מקורות,NO3,תקן ישראלי מותר,70,25/12/2017,190.5,272.1
617202,מק מרזבה 10,752,חברת מקורות,PB,תקן ישראלי מותר,10,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,SIMZ,תקן ישראלי מותר,2,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,TCEY,תקן ישראלי מותר,20,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,TDCE,תקן ישראלי מותר,50,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,TECE,תקן ישראלי מותר,10,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,TOLU,תקן ישראלי מותר,700,20/08/2012,0,0
617202,מק מרזבה 10,752,חברת מקורות,VYCL,תקן ישראלי מותר,0.5,20/08/2012,0,0
